,일자,"서울가락도매
평균가격 (원/kg)"
0,20220101,0.0
1,20220102,0.0
2,20220103,660.0
3,20220104,680.0
4,20220105,690.0
5,20220106,660.0
6,20220107,640.0
7,20220108,610.0
8,20220109,580.0
9,20220110,570.0
10,20220111,590.0
11,20220112,600.0
12,20220113,540.0
13,20220114,480.0
14,20220115,470.0
15,20220116,470.0
16,20220117,490.0
17,20220118,560.0
18,20220119,580.0
19,20220120,520.0
20,20220121,500.0
21,20220122,480.0
22,20220123,490.0
23,20220124,490.0
24,20220125,540.0
25,20220126,520.0
26,20220127,450.0
27,20220128,460.0
28,20220129,480.0
29,20220130,470.0
30,20220131,0.0
31,20220201,0.0
32,20220202,0.0
33,20220203,0.0
34,20220204,600.0
35,20220205,560.0
36,20220206,520.0
37,20220207,500.0
38,20220208,480.0
39,20220209,460.0
40,20220210,500.0
41,20220211,490.0
42,20220212,430.0
43,20220213,430.0
44,20220214,440.0
45,20220215,420.0
46,20220216,390.0
47,20220217,370.0
48,20220218,440.0
49,20220219,430.0
50,20220220,340.0
51,20220221,360.0
52,20220222,340.0
53,20220223,400.0
54,20220224,380.0
55,20220225,320.0
56,20220226,360.0
57,20220227,390.0
58,20220228,420.0
59,20220301,420.0
60,20220302,420.0
61,20220303,430.0
62,20220304,500.0
63,20220305,490.0
64,20220306,420.0
65,20220307,400.0
66,20220308,390.0
67,20220309,380.0
68,20220310,360.0
69,20220311,400.0
70,20220312,390.0
71,20220313,340.0
72,20220314,460.0
73,20220315,1070.0
74,20220316,1020.0
75,20220317,340.0
76,20220318,400.0
77,20220319,380.0
78,20220320,270.0
79,20220321,290.0
80,20220322,300.0
81,20220323,280.0
82,20220324,270.0
83,20220325,300.0
84,20220326,320.0
85,20220327,310.0
86,20220328,340.0
87,20220329,340.0
88,20220330,370.0
89,20220331,380.0
90,20220401,350.0
91,20220402,320.0
92,20220403,300.0
93,20220404,360.0
94,20220405,420.0
95,20220406,440.0
96,20220407,410.0
97,20220408,400.0
98,20220409,370.0
99,20220410,360.0
100,20220411,360.0
101,20220412,380.0
102,20220413,420.0
103,20220414,460.0
104,20220415,560.0
105,20220416,620.0
106,20220417,600.0
107,20220418,490.0
108,20220419,480.0
109,20220420,470.0
110,20220421,540.0
111,20220422,560.0
112,20220423,540.0
113,20220424,580.0
114,20220425,570.0
115,20220426,640.0
116,20220427,680.0
117,20220428,640.0
118,20220429,620.0
119,20220430,620.0
120,20220501,650.0
121,20220502,610.0
122,20220503,620.0
123,20220504,580.0
124,20220505,520.0
125,20220506,500.0
126,20220507,470.0
127,20220508,450.0
128,20220509,470.0
129,20220510,460.0
130,20220511,440.0
131,20220512,440.0
132,20220513,460.0
133,20220514,460.0
134,20220515,460.0
135,20220516,590.0
136,20220517,550.0
137,20220518,500.0
138,20220519,480.0
139,20220520,480.0
140,20220521,490.0
141,20220522,500.0
142,20220523,550.0
143,20220524,620.0
144,20220525,660.0
145,20220526,620.0
146,20220527,640.0
147,20220528,690.0
148,20220529,730.0
149,20220530,880.0
150,20220531,900.0
151,20220601,980.0
152,20220602,1010.0
153,20220603,1010.0
154,20220604,1040.0
155,20220605,1050.0
156,20220606,1090.0
157,20220607,1120.0
158,20220608,1160.0
159,20220609,1160.0
160,20220610,1080.0
161,20220611,1040.0
162,20220612,1040.0
163,20220613,15260.0
164,20220614,8180.0
165,20220615,1090.0
166,20220616,1110.0
167,20220617,1160.0
168,20220618,1210.0
169,20220619,1240.0
170,20220620,1300.0
171,20220621,1280.0
172,20220622,1240.0
173,20220623,1220.0
174,20220624,1160.0
175,20220625,1120.0
176,20220626,1120.0
177,20220627,1110.0
178,20220628,1160.0
179,20220629,1140.0
180,20220630,1040.0
181,20220701,1040.0
182,20220702,1060.0
183,20220703,1050.0
184,20220704,1170.0
185,20220705,1180.0
186,20220706,1200.0
187,20220707,1190.0
188,20220708,1180.0
189,20220709,1160.0
190,20220710,1150.0
191,20220711,1080.0
192,20220712,1070.0
193,20220713,1060.0
194,20220714,1090.0
195,20220715,1100.0
196,20220716,1080.0
197,20220717,1090.0
198,20220718,1050.0
199,20220719,1040.0
200,20220720,1010.0
201,20220721,1020.0
202,20220722,1130.0
203,20220723,1200.0
204,20220724,1200.0
205,20220725,1160.0
206,20220726,1150.0
207,20220727,1120.0
208,20220728,1120.0
209,20220729,1130.0
210,20220730,1120.0
211,20220731,1110.0
212,20220801,1040.0
213,20220802,1070.0
214,20220803,1100.0
215,20220804,1130.0
216,20220805,1180.0
217,20220806,1210.0
218,20220807,0.0
219,20220808,1260.0
220,20220809,1200.0
221,20220810,1130.0
222,20220811,1160.0
223,20220812,1220.0
224,20220813,1260.0
225,20220814,1270.0
226,20220815,1330.0
227,20220816,1320.0
228,20220817,1280.0
229,20220818,1240.0
230,20220819,1200.0
231,20220820,1140.0
232,20220821,1130.0
233,20220822,1080.0
234,20220823,1070.0
235,20220824,1060.0
236,20220825,1080.0
237,20220826,1070.0
238,20220827,1050.0
239,20220828,1070.0
240,20220829,1010.0
241,20220830,1000.0
242,20220831,1000.0
243,20220901,1080.0
244,20220902,1130.0
245,20220903,1160.0
246,20220904,1200.0
247,20220905,1330.0
248,20220906,1330.0
249,20220907,1330.0
250,20220908,1340.0
251,20220909,1340.0
252,20220910,0.0
253,20220911,0.0
254,20220912,0.0
255,20220913,1100.0
256,20220914,1120.0
257,20220915,1120.0
258,20220916,1140.0
259,20220917,1170.0
260,20220918,1180.0
261,20220919,1230.0
262,20220920,1220.0
263,20220921,1200.0
264,20220922,1200.0
265,20220923,1200.0
266,20220924,1180.0
267,20220925,1170.0
268,20220926,1180.0
269,20220927,1180.0
270,20220928,1180.0
271,20220929,1190.0
272,20220930,1220.0
273,20221001,1200.0
274,20221002,1180.0
275,20221003,1240.0
276,20221004,1230.0
277,20221005,1220.0
278,20221006,1220.0
279,20221007,1260.0
280,20221008,1320.0
281,20221009,1310.0
282,20221010,1340.0
283,20221011,1360.0
284,20221012,1370.0
285,20221013,1380.0
286,20221014,1380.0
287,20221015,1330.0
288,20221016,1290.0
289,20221017,1300.0
290,20221018,1280.0
291,20221019,1240.0
292,20221020,1230.0
293,20221021,1240.0
294,20221022,1260.0
295,20221023,1270.0
296,20221024,1330.0
297,20221025,1320.0
298,20221026,1300.0
299,20221027,1280.0
300,20221028,1290.0
301,20221029,1280.0
302,20221030,1260.0
303,20221031,1290.0
304,20221101,1280.0
305,20221102,1280.0
306,20221103,1260.0
307,20221104,1220.0
308,20221105,1210.0
309,20221106,1210.0
310,20221107,1280.0
311,20221108,1300.0
312,20221109,1280.0
313,20221110,1260.0
314,20221111,1300.0
315,20221112,1290.0
316,20221113,1270.0
317,20221114,1310.0
318,20221115,1260.0
319,20221116,1200.0
320,20221117,1200.0
321,20221118,1240.0
322,20221119,1250.0
323,20221120,1230.0
324,20221121,1280.0
325,20221122,1280.0
326,20221123,1260.0
327,20221124,1280.0
328,20221125,1250.0
329,20221126,1180.0
330,20221127,1160.0
331,20221128,1200.0
332,20221129,1200.0
333,20221130,1180.0
334,20221201,1130.0
335,20221202,1120.0
336,20221203,1260.0
337,20221204,1390.0
338,20221205,1210.0
339,20221206,1210.0
340,20221207,1210.0
341,20221208,1270.0
342,20221209,1280.0
343,20221210,1220.0
344,20221211,1210.0
345,20221212,1230.0
346,20221213,1200.0
347,20221214,1180.0
348,20221215,1240.0
349,20221216,1250.0
350,20221217,1160.0
351,20221218,1120.0
352,20221219,1180.0
353,20221220,1180.0
354,20221221,1210.0
355,20221222,1230.0
356,20221223,1260.0
357,20221224,1220.0
358,20221225,1130.0
359,20221226,1290.0
360,20221227,1280.0
361,20221228,1260.0
362,20221229,1280.0
363,20221230,1250.0
364,20221231,1200.0
